ResponseID,age,gender,whereareyoufrom,timelisteningtomusic,genderrep,idealgenderrep,menrep,womenrep,lyrics,misogynistlyrics,feministlyrics,genderrepimportant,politicallyrics,condition,Q1,Q2,Q3,Q4,Q5,Q6,Q7,The_man,Roar,NotReady_TMN,Strongeer,YouDont_om,Ladies_first,GoodOl_BC,KeepYa_HU,Grown_woman,Venom,TheLucky_one,LastFriday_night,WideOpen_spaces,Work_bitch,ThePartys_over,Detrim_stable,Rainbow,Ghetto_gospel,Schoolin_life,Introvert
R_0V5QU0p8M52jZU5,2,Female,1,2,2,7,2,5,6,4,7,6,5,Neutral Condition,6,5.6,4.4,4.6,5.2,6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.428571429,NA,NA,4.285714286,NA,4.285714286,NA,4.285714286,5,NA
R_1Qo2kUP9IL1500D,2,Male,1,3,7,4,6,2,6,3,5,1,2,Neutral Condition,3.8,5.4,2,2.6,2.6,1.8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2.571428571,NA,2.428571429,NA,3.714285714,NA,NA
R_2XoMpoyU9c513eT,2,Female,1,4,1,7,1,5,5,6,7,7,1,Feminist Condition,6.4,6.4,6.6,6.6,7,7,6.8,6.142857143,NA,NA,4.857142857,NA,5.857142857,NA,NA,6.142857143,6.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_sNXIA9UIpEODQD7,2,Female,1,2,2,6,2,5,6,6,6,5,5,Neutral Condition,3.6,3.8,3.6,2.8,3.8,2.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571428571,3.285714286,NA,3.428571429,NA,3.142857143,NA,NA,2.571428571
R_10Ivc3DCykLmXDp,2,Female,1,4,4,7,2,7,6,6,2,6,5,Neutral Condition,6.2,5,4,5,5.2,6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571428571,4.285714286,4.857142857,NA,NA,NA,4.142857143,4.571428571,NA,NA
R_2OIrD7wgcwT6DaB,2,Female,1,1,3,5,4,4,7,7,2,6,3,Feminist Condition,4.2,4.4,5.6,4.4,4.4,3.2,5.4,4.428571429,NA,NA,4.285714286,NA,4.857142857,NA,5.285714286,NA,3.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2YFB83P1tCyKNNi,2,Female,2,1,2,6,4,4,6,7,5,5,3,Neutral Condition,4.4,4.8,4.4,3.8,4.2,5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857143,3.714285714,3.857142857,NA,NA,4.571428571,3.857142857
R_SPkObSZG5EmcFTX,2,Male,1,2,6,2,1,2,1,1,1,1,4,Feminist Condition,4.4,4.6,4.2,4,5.6,1.8,4.6,3.857142857,NA,3.571428571,NA,3.857142857,4.428571429,NA,5.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1gSGwxPtdYJDQX7,2,Male,3,3,4,7,4,4,7,6,6,6,5,Neutral Condition,5,4,3.6,3.2,3,4,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.857142857,NA,4.142857143,3.571428571,NA,3.142857143,4.142857143,NA,NA
R_3FPbh9i4paPDRRd,2,Male,1,4,3,7,1,1,7,1,5,4,5,Feminist Condition,3.8,4.6,3.6,3,4.6,3.2,3.6,3.285714286,NA,NA,NA,4.142857143,NA,2.428571429,4.857142857,4.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2EaYLHphTw8n9l1,2,Male,5,3,6,2,2,2,5,5,4,2,6,Neutral Condition,5.4,4,4,2.4,3.8,6,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.714285714,NA,3.571428571,NA,NA,3.285714286,NA,NA,4.285714286,3.285714286
R_3PStwdD9ptR3Qzt,2,Male,1,3,3,7,5,6,6,7,6,6,5,Feminist Condition,5.4,4.8,5,3.8,4.8,2.6,4,NA,4.285714286,4.142857143,NA,NA,4.571428571,4,NA,NA,4.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0dLPgLPgQxSnMhb,2,Male,1,3,6,6,4,4,6,2,3,1,4,Neutral Condition,3.6,4.2,4,3.2,4.8,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,NA,NA,NA,2.857142857,NA,2.857142857,4.571428571,NA,3.571428571
R_1I9QMFlsS0pvU9K,2,Male,1,3,3,7,1,1,5,3,2,3,6,Neutral Condition,5,4.8,3.6,3,4.8,2.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571428571,4.571428571,3,NA,4,NA,NA,4.428571429,NA
R_3I6442G1syn2NmE,2,Female,1,2,2,7,1,5,5,5,7,6,4,Feminist Condition,4.2,3.8,3.6,4.8,4.4,2.6,5,NA,4.428571429,NA,4.571428571,NA,2.142857143,4.142857143,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
